depart,arrive,distance_min,distance_max,distance_moy,virage_min,virage_max,prix_moy
Centre des handicapes,mokolo-marché,800,4100,2300,7,10,225
Centre des handicapes,Total Melen,6000,9300,7500,3,5,175
Centre des handicapes,Carefour EMIA,114,3414,1614,7,9,225
Centre des handicapes,Bastos(carrefour),3797,7097,5297,14,20,350
Centre des handicapes,Cité verte,800,4100,2300,10,16,275
Centre des handicapes,Madagascar,700,4000,2200,14,15,275
Centre des handicapes,Carriere,2200,5500,3700,9,11,250
Centre des handicapes,Bastos,4900,8200,6400,14,20,350
Centre des handicapes,Nkom-kana,2800,6100,4300,14,19,300
Centre des handicapes,Nkolbisson,3200,6500,4700,14,26,300
Centre des handicapes,Tsinga,2900,6200,4400,13,15,300
Centre des handicapes,Briqueterie,1400,4700,2900,14,15,250
Centre des handicapes,Ecole de police(pharmacie),2400,5700,3900,17,17,250
Centre des handicapes,Ecole des postes(immeuble cyberlink),1000,4300,2500,5,6,250
Centre des handicapes,Emombo(Chapelle),6100,9400,7600,5,9,375
Centre des handicapes,Mimboman(don bosco),9100,12400,10600,13,15,450
Centre des handicapes,Essos(marché),5900,9200,7400,7,10,300
Centre des handicapes,Omnisport,7200,10500,8700,11,13,350
Centre des handicapes,Ngousso(station),9000,12300,10500,8,13,400
Centre des handicapes,Damas(rond point),5500,8800,7000,5,11,250
Centre des handicapes,Tam-tam,3700,7000,5200,4,12,225
Centre des handicapes,Nsimeyong(pharmacie),3100,6400,4600,4,11,250
Centre des handicapes,Accacia(marché),1900,5200,3400,4,8,150
Centre des handicapes,Etoudi(marché),8200,11500,9700,8,14,400
Centre des handicapes,Santa barbara(cyberlink),9300,12600,10800,14,17,400
Centre des handicapes,Emana,8900,12200,10400,7,13,300
Centre des handicapes,(Mission Catholique)Nkozoa,15100,18400,16600,7,7,300
Centre des handicapes,Nlongkak,3900,7200,5400,8,12,375
Centre des handicapes,Anguissa(lycée),6200,9500,7700,8,11,450
Centre des handicapes,Ekounou,5000,8300,6500,8,13,450
Centre des handicapes,Mvan,7800,11100,9300,8,12,500
Centre des handicapes,Mvog-bi,3300,6600,4800,7,10,400
Centre des handicapes,(Basilique Marie Reine des Apotres)Mvolyé,2300,5600,3800,4,12,300
Centre des handicapes,Fouda,2500,5800,4000,8,8,500
Centre des handicapes,Marché central,2400,5700,3900,7,7,250
Centre des handicapes,Mendong(carrefour banane),3500,6800,5000,8,11,175
Centre des handicapes,(Lycée)Mballa II,5900,9200,7400,7,9,400
Centre des handicapes,Cradat(restaurant),700,4000,2200,5,6,250
Centre des handicapes,Efoulan(carrefour club france),3600,6900,5100,4,8,250
Centre des handicapes,Eleveur (tradex college ebanda),9900,13200,11400,8,13,100
Centre des handicapes,Mvog-ada,4200,7500,5700,6,9,250
Centre des handicapes,hotel de ville(avenue des banques),3000,6300,4500,7,11,300
Centre des handicapes,TKC(carrefour),2200,5500,3700,3,8,100
Centre des handicapes,Carrefour MEEC,-400,2900,1100,3,3,150
Centre des handicapes,Mvog Atangana Mballa(pharmacie),3200,6500,4700,6,8,100
Centre des handicapes,Ngoa Ekélé (lycée),500,3800,2000,5,8,250
Centre des handicapes,Chateau(Université de Yaoundé I),1300,4600,2800,7,9,225
Centre des handicapes,Ekoundoum,102500,105800,104000,13,20,1000
mokolo-marché,Total Melen,1600,1700,1600,4,4,100
mokolo-marché,Carefour EMIA,2400,2700,2700,4,10,150
mokolo-marché,Bastos(carrefour),3400,4600,4300,4,9,250
mokolo-marché,Cité verte,1300,1800,1500,6,6,100
mokolo-marché,Madagascar,1300,1800,1500,2,3,100
mokolo-marché,Bastos,4300,4800,4500,4,9,250
mokolo-marché,Nkom-kana,1800,2300,2000,4,12,200
mokolo-marché,Nkolbisson,6100,6600,6300,6,9,250
mokolo-marché,Tsinga,1500,2000,1700,5,5,100
mokolo-marché,Briqueterie,1300,1800,1500,4,9,150
mokolo-marché,Ecole de police(pharmacie),2300,2800,2500,7,10,200
mokolo-marché,Ecole des postes(immeuble cyberlink),3800,4300,4000,8,10,250
mokolo-marché,Emombo(Chapelle),6100,6600,6300,8,11,400
mokolo-marché,Mimboman(don bosco),8000,8500,8200,13,20,400
mokolo-marché,Essos(marché),5900,6400,6100,9,12,300
mokolo-marché,Omnisport,6800,7300,7000,13,16,400
mokolo-marché,Ngousso(station),8600,9100,8800,7,19,300
mokolo-marché,Damas(rond point),10200,10700,10400,9,10,300
mokolo-marché,Tam-tam,6700,7200,6900,9,20,250
mokolo-marché,Nsimeyong(pharmacie),5900,6400,6100,12,17,250
mokolo-marché,Accacia(marché),4500,5000,4700,6,15,200
mokolo-marché,Etoudi(marché),7700,8200,7900,6,11,500
mokolo-marché,Santa barbara(cyberlink),8800,9300,9000,17,21,500
mokolo-marché,Emana,8400,8900,8600,11,14,500
mokolo-marché,(Mission Catholique)Nkozoa,14700,15200,14900,7,7,400
mokolo-marché,Nlongkak,3700,4200,3900,10,12,300
mokolo-marché,Anguissa(lycée),5800,6300,6000,11,13,250
mokolo-marché,Ekounou,6700,7200,6900,10,14,350
mokolo-marché,Mvan,10300,10800,10500,8,15,300
mokolo-marché,Mvog-bi,4400,4900,4600,9,13,250
mokolo-marché,(Basilique Marie Reine des Apotres)Mvolyé,6000,6500,6200,7,11,250
mokolo-marché,Fouda,2100,2600,2300,5,6,250
mokolo-marché,Marché central,2600,3100,2800,11,19,225
mokolo-marché,Mendong(carrefour banane),7800,8300,8000,10,14,300
mokolo-marché,(Lycée)Mballa II,5500,6000,5700,11,14,300
mokolo-marché,Cradat(restaurant),3600,4100,3800,9,10,250
mokolo-marché,Efoulan(carrefour club france),6900,7400,7100,9,10,250
mokolo-marché,Eleveur (tradex college ebanda),9500,10000,9700,18,20,400
mokolo-marché,Mvog-ada,4100,4600,4300,7,15,300
mokolo-marché,hotel de ville(avenue des banques),2800,3300,3000,7,10,250
mokolo-marché,TKC(carrefour),5300,6300,6300,7,12,250
mokolo-marché,Carrefour MEEC,2500,2700,2700,5,7,100
mokolo-marché,Mvog Atangana Mballa(pharmacie),4700,5300,4700,9,10,250
mokolo-marché,Ngoa Ekélé (lycée),3300,3400,3300,7,9,250
mokolo-marché,Chateau(Université de Yaoundé I),3700,3800,3700,7,9,250
mokolo-marché,Ekoundoum,103000,103100,103000,13,21,1000
mokolo-marché,Carefour EMIA,1614,1714,1614,1,1,100
mokolo-marché,Bastos(carrefour),4597,4697,4597,10,11,500
mokolo-marché,Cité verte,2000,2100,2000,7,10,200
mokolo-marché,Madagascar,3600,2100,3600,8,11,250
mokolo-marché,Bastos,6700,3700,6700,15,16,400
mokolo-marché,Nkom-kana,4300,6800,4300,13,15,300
mokolo-marché,Nkolbisson,5800,6800,5800,8,13,300
mokolo-marché,Tsinga,3000,4400,3000,9,15,400
mokolo-marché,Briqueterie,2900,5900,2900,4,6,175
mokolo-marché,Ecole de police(pharmacie),3900,3100,3900,8,10,200
