depart_nom,depart_latitude,depart_longitude,depart_agglomeration,arrive_latitude,arrive_longitude,arrive_nom,arrive_agglomeration,distance,virages,embouteillage,prix
Centre des handicapes,3.863966,11.490792,2,3.876103,11.497105,mokolo-marché,5,2.3,7,5,150
Centre des handicapes,3.863967,11.490793,2,3.864167,11.496965,Total Melen,4,7.5,3,3,100
Centre des handicapes,3.863968,11.490794,2,3.862409,11.504112,Carefour EMIA,1,1.614,7,3,350
Centre des handicapes,3.863969,11.490795,2,3.892244,11.511425,Bastos(carrefour),2,5.297,14,3,350
Centre des handicapes,3.863970,11.490796,2,3.876147,11.489672,Cité verte,2,2.3,10,1,150
Centre des handicapes,3.863971,11.490797,2,3.882253,11.486947,Madagascar,2,2.2,14,3,250
Centre des handicapes,3.863972,11.490798,2,3.987950,11.565433,Carriere,3,3.7,9,2,250
Centre des handicapes,3.863973,11.490799,2,3.896936,11.507444,Bastos,1,6.4,14,2,350
Centre des handicapes,3.863974,11.490800,2,3.889307,11.495470,Nkom-kana,4,4.3,14,2,300
Centre des handicapes,3.863975,11.490801,2,3.871170 ,11.455157,Nkolbisson,3,4.7,14,1,200
Centre des handicapes,3.863976,11.490802,2,3.884218,11.506428,Tsinga,3,4.4,13,2,300
Centre des handicapes,3.863977,11.490803,2,3.873974,11.509291,Briqueterie,5,2.9,14,5,250
Centre des handicapes,3.863978,11.490804,2,3.878457,11.510559,Ecole de police(pharmacie),3,3.9,17,2,300
Centre des handicapes,3.863979,11.490805,2,3.850885,11.500766,Ecole des postes(immeuble cyberlink),2,2.5,5,3,300
Centre des handicapes,3.863980,11.490806,2,3.863715,11.545285,Emombo(Chapelle),2,7.6,5,3,500
Centre des handicapes,3.863981,11.490807,2,3.868167,11.559176,Mimboman(don bosco),3,10.6,13,2,500
Centre des handicapes,3.863982,11.490808,2,3.869619,11.542298,Essos(marché),5,7.4,7,3,400
Centre des handicapes,3.863983,11.490809,2,3.882799,11.537976,Omnisport,3,8.7,11,5,400
Centre des handicapes,3.863984,11.490810,2,3.897352,11.550365,Ngousso(station),5,10.5,8,5,400
Centre des handicapes,3.863985,11.490811,2,3.815869,11.489237,Damas(rond point),3,7,5,3,250
Centre des handicapes,3.863986,11.490812,2,3.831629,11.489602,Tam-tam,1,5.2,4,1,200
Centre des handicapes,3.863987,11.490813,2,3.835291,11.494906,Nsimeyong(pharmacie),2,4.6,4,3,250
Centre des handicapes,3.863988,11.490814,2,3.841461,11.488748,Accacia(marché),5,3.4,4,1,100
Centre des handicapes,3.863989,11.490815,2,3.916084,11.523966,Etoudi(marché),5,9.7,8,3,300
Centre des handicapes,3.863990,11.490816,2,3.915474,11.531633,Santa barbara(cyberlink),3,10.8,14,3,300
Centre des handicapes,3.863991,11.490817,2,3.924443,11.522115,Emana,4,10.4,7,3,400
Centre des handicapes,3.863992,11.490818,2,3.969259,11.544474,(Mission Catholique)Nkozoa,3,16.6,7,2,500
Centre des handicapes,3.863993,11.490819,2,3.883732,11.519217,Nlongkak,3,5.4,8,3,300
Centre des handicapes,3.863994,11.490820,2,3.863793,11.540184,Anguissa(lycée),2,7.7,8,1,350
Centre des handicapes,3.863995,11.490821,2,3.843894,11.535655,Ekounou,3,6.5,8,3,350
Centre des handicapes,3.863996,11.490822,2,3.811649,11.523198,Mvan,5,9.3,8,5,400
Centre des handicapes,3.863997,11.490823,2,3.850423,11.522540,Mvog-bi,4,4.8,7,3,300
Centre des handicapes,3.863998,11.490824,2,3.842369,11.508273,(Basilique Marie Reine des Apotres)Mvolyé,4,3.8,4,4,250
Centre des handicapes,3.863999,11.490825,2,3.879979,11.481272,Fouda,2,4,8,5,300
Centre des handicapes,3.864000,11.490826,2,3.865518,11.513821,Marché central,5,3.9,7,2,250
Centre des handicapes,3.864001,11.490827,2,3.836345,11.469223,Mendong(carrefour banane),5,5,8,1,150
Centre des handicapes,3.864002,11.490828,2,3.899579,11.525473,(Lycée)Mballa II,2,7.4,7,2,300
Centre des handicapes,3.864003,11.490829,2,3.852458,11.498892,Cradat(restaurant),3,2.2,5,4,250
Centre des handicapes,3.864004,11.490830,2,3.839471,11.507801,Efoulan(carrefour club france),1,5.1,4,3,250
Centre des handicapes,3.864005,11.490831,2,3.900994,11.558921,Eleveur (tradex college ebanda),3,11.4,8,5,500
Centre des handicapes,3.864006,11.490832,2,3.863931,11.528186,Mvog-ada,3,5.7,6,3,300
Centre des handicapes,3.864007,11.490833,2,3.875079,11.516893,hotel de ville(avenue des banques),2,4.5,7,2,300
Centre des handicapes,3.864008,11.490834,2,3.840961,11.477819,TKC(carrefour),3,3.7,3,3,100
Centre des handicapes,3.864009,11.490835,2,3.869610,11.485476,Carrefour MEEC,1,1.1,3,1,100
Centre des handicapes,3.864010,11.490836,2,3.849396,11.520556,Mvog Atangana Mballa(pharmacie),3,4.7,6,3,300
Centre des handicapes,3.864011,11.490837,2,3.859047,11.505877,Ngoa Ekélé (lycée),4,2,5,2,150
Centre des handicapes,3.864012,11.490838,2,3.856842,11.504406,Chateau(Université de Yaoundé I),5,2.8,7,2,200
Centre des handicapes,3.864013,11.490839,2,3.8254497,11.5345335,Ekoundoum (Carrefour de l'Amitié),3,8.8,13,3,500
mokolo-marché,3.876103,11.497105,5,3.864167,11.496965,Total Melen,4,1.6,4,2,100
mokolo-marché,3.876104,11.497106,5,3.862409,11.504112,Carefour EMIA,1,2.7,4,3,150
mokolo-marché,3.876105,11.497107,5,3.892244,11.511425,Bastos(carrefour),2,4.3,4,3,150
mokolo-marché,3.876106,11.497108,5,3.876147,11.489672,Cité verte,2,1.5,6,3,100
mokolo-marché,3.876107,11.497109,5,3.882253,11.486947,Madagascar,2,1.5,2,4,150
mokolo-marché,3.876108,11.497110,5,3.896936,11.507444,Bastos,1,4.5,4,3,150
mokolo-marché,3.876109,11.497111,5,3.889307,11.495470,Nkom-kana,4,2,4,3,100
mokolo-marché,3.876110,11.497112,5,3.871170 ,11.455157,Nkolbisson,3,6.3,6,2,200
mokolo-marché,3.876111,11.497113,5,3.884218,11.506428,Tsinga,3,1.7,5,2,150
mokolo-marché,3.876112,11.497114,5,3.873974,11.509291,Briqueterie,5,1.5,4,2,100
mokolo-marché,3.876113,11.497115,5,3.878457,11.510559,Ecole de police(pharmacie),3,2.5,7,3,150
mokolo-marché,3.876114,11.497116,5,3.850885,11.500766,Ecole des postes(immeuble cyberlink),2,4,8,3,250
mokolo-marché,3.876115,11.497117,5,3.863715,11.545285,Emombo(Chapelle),2,6.3,8,3,300
mokolo-marché,3.876116,11.497118,5,3.868167,11.559176,Mimboman(don bosco),3,8.2,13,2,300
mokolo-marché,3.876117,11.497119,5,3.869619,11.542298,Essos(marché),5,6.1,9,4,250
mokolo-marché,3.876118,11.497120,5,3.882799,11.537976,Omnisport,3,7,13,5,250
mokolo-marché,3.876119,11.497121,5,3.897352,11.550365,Ngousso(station),5,8.8,7,5,300
mokolo-marché,3.876120,11.497122,5,3.815869,11.489237,Damas(rond point),3,10.4,9,3,400
mokolo-marché,3.876121,11.497123,5,3.831629,11.489602,Tam-tam,1,6.9,9,3,350
mokolo-marché,3.876122,11.497124,5,3.835291,11.494906,Nsimeyong(pharmacie),2,6.1,12,3,350
mokolo-marché,3.876123,11.497125,5,3.841461,11.488748,Accacia(marché),5,4.7,6,3,250
mokolo-marché,3.876124,11.497126,5,3.916084,11.523966,Etoudi(marché),5,7.9,6,2,150
mokolo-marché,3.876125,11.497127,5,3.915474,11.531633,Santa barbara(cyberlink),3,9,17,3,400
mokolo-marché,3.876126,11.497128,5,3.924443,11.522115,Emana,4,8.6,11,3,250
mokolo-marché,3.876127,11.497129,5,3.969259,11.544474,(Mission Catholique)Nkozoa,3,14.9,7,2,300
mokolo-marché,3.876128,11.497130,5,3.883732,11.519217,Nlongkak,3,3.9,10,2,150
mokolo-marché,3.876129,11.497131,5,3.863793,11.540184,Anguissa(lycée),2,6,11,3,200
mokolo-marché,3.876130,11.497132,5,3.843894,11.535655,Ekounou,3,6.9,10,3,250
mokolo-marché,3.876131,11.497133,5,3.811649,11.523198,Mvan,5,10.5,8,4,500
mokolo-marché,3.876132,11.497134,5,3.850423,11.522540,Mvog-bi,4,4.6,9,3,200
mokolo-marché,3.876133,11.497135,5,3.842369,11.508273,(Basilique Marie Reine des Apotres)Mvolyé,4,6.2,7,4,300
mokolo-marché,3.876134,11.497136,5,3.879979,11.481272,Fouda,2,2.3,5,3,150
mokolo-marché,3.876135,11.497137,5,3.865518,11.513821,Marché central,5,2.8,11,2,100
mokolo-marché,3.876136,11.497138,5,3.836345,11.469223,Mendong(carrefour banane),5,8,10,3,250
mokolo-marché,3.876137,11.497139,5,3.899579,11.525473,(Lycée)Mballa II,2,5.7,11,2,250
